event_id,cell_id,observed_at,outcome,rainfall_mm_1h,rainfall_mm_3h,rainfall_mm_6h,rainfall_mm_24h,rainfall_mm_72h,river_stage_m,river_stage_rate_m_per_h,pump_running,forecast_probability,flagged_observation_count
event-01,8960885016bffff,2024-06-15T00:00:00+05:30,0,1.5986,4.2072,8.1211,16.1211,28.1211,2.7,0.0055,1.0,0.04,0
event-01,8960885016bffff,2024-06-15T01:00:00+05:30,0,1.8412,5.9958,10.8934,18.8934,30.8934,2.7178,0.0178,1.0,0.045,0
event-01,8960885016bffff,2024-06-15T02:00:00+05:30,0,1.0548,3.1292,6.4503,14.4503,26.4503,2.7087,0.0044,1.0,0.05,0
event-01,8960885016bffff,2024-06-15T03:00:00+05:30,0,0.0663,1.4904,3.9101,11.9101,23.9101,2.739,0.013,1.0,0.055,0
event-01,8960885016bffff,2024-06-15T04:00:00+05:30,0,0.5511,3.2407,6.6231,14.6231,26.6231,2.7648,0.0162,1.0,0.06,1
event-01,8960885016bffff,2024-06-15T05:00:00+05:30,0,2.0145,6.3854,11.4973,19.4973,31.4973,2.734,0.0068,1.0,0.065,0
event-01,8960885016bffff,2024-06-15T06:00:00+05:30,0,2.393,6.4193,11.5498,19.5498,31.5498,2.7111,0.0019,1.0,0.07,0
event-01,8960885016bffff,2024-06-15T07:00:00+05:30,0,2.1187,6.4049,11.5276,19.5276,31.5276,2.813,0.0161,1.0,0.075,0
event-01,8960885016bffff,2024-06-15T08:00:00+05:30,0,1.3406,5.5874,10.2604,18.2604,30.2604,2.7606,0.0076,1.0,0.08,0
event-01,8960885016bffff,2024-06-15T09:00:00+05:30,0,2.1735,6.5441,11.7433,20.1433,32.1433,2.8605,0.0178,1.0,0.085,0
event-01,8960885016bffff,2024-06-15T10:00:00+05:30,0,1.9614,4.9745,9.3105,18.1105,30.1105,2.7576,0.0058,1.0,0.09,0
event-01,8960885016bffff,2024-06-15T11:00:00+05:30,0,0.4995,2.4245,5.358,14.558,26.558,2.742,0.0038,1.0,0.095,0
event-02,89608850c53ffff,2024-06-23T00:00:00+05:30,0,1.5892,5.0481,9.7245,19.2245,33.0245,2.74,0.0074,1.0,0.04,0
event-02,89608850c53ffff,2024-06-23T01:00:00+05:30,0,0.6674,4.3482,8.6397,18.1397,31.9397,2.753,0.013,1.0,0.045,0
event-02,89608850c53ffff,2024-06-23T02:00:00+05:30,0,0.4278,3.4539,7.2536,16.7536,30.5536,2.7465,0.0033,1.0,0.05,0
event-02,89608850c53ffff,2024-06-23T03:00:00+05:30,0,2.4738,7.3676,13.3198,22.8198,36.6198,2.7734,0.0111,1.0,0.055,0
event-02,89608850c53ffff,2024-06-23T04:00:00+05:30,0,2.1071,6.9063,12.6047,22.1047,35.9047,2.7583,0.0046,1.0,0.06,1
event-02,89608850c53ffff,2024-06-23T05:00:00+05:30,0,0.7886,3.2527,6.9418,16.4418,30.2418,2.7611,0.0042,1.0,0.065,0
event-02,89608850c53ffff,2024-06-23T06:00:00+05:30,0,2.1909,6.1512,11.4344,20.9344,34.7344,2.8187,0.0131,1.0,0.07,0
event-02,89608850c53ffff,2024-06-23T07:00:00+05:30,0,2.2864,6.6304,12.1772,21.6772,35.4772,2.7771,0.0053,1.0,0.075,0
event-02,89608850c53ffff,2024-06-23T08:00:00+05:30,0,1.4034,4.4723,8.8321,18.3321,32.1321,2.8335,0.0117,1.0,0.08,0
event-02,89608850c53ffff,2024-06-23T09:00:00+05:30,0,1.0985,3.7756,7.7522,17.6522,31.4522,2.925,0.0206,1.0,0.085,0
event-02,89608850c53ffff,2024-06-23T10:00:00+05:30,0,0.4273,2.0888,5.1376,15.4376,29.2376,2.7739,0.0034,1.0,0.09,0
event-02,89608850c53ffff,2024-06-23T11:00:00+05:30,0,2.2802,6.5447,12.0443,22.7443,36.5443,2.7738,0.0031,1.0,0.095,0
event-03,89608850e47ffff,2024-07-01T00:00:00+05:30,0,2.4903,7.3588,13.6062,24.6062,40.2062,2.78,0.0194,1.0,0.04,0
